Call Sign	On Air Id	Licensee
	6PCR	Cockburn S Portuguese Cultural and Recreational Centre of 	6BAY	6BAY	Geraldton FM Pty Ltd
6GGG	6GGG	Great Northern Broadcasters Ltd
		Soncity FM Soncity FM Inc.
		Worldaudio Communications Pty Limited
6PRK	6PRK	Puranyangu-Rangka Kerrem (Aboriginal Radio) Jigalong Community Inc.
	6KCR	KCR-FM Kalamunda Community Radio (Inc)
6KAR	6KAR	Regional Broadcasters Australia Pty Ltd
6KG	6KG	Regional Broadcasters Australia Pty Ltd
		Worldaudio Communications Pty Limited
		Kalumburu Aboriginal Corporation
6KA	6KA	North West Radio Pty Ltd
6RED	6RED	North West Radio Pty Ltd
6KAN	6KAN	Elldale Pty Ltd
6WB	6WB	Elldale Pty Ltd
		Kiwirrkurra Community Aboriginal Corporation
6WR	6WR	Waringarri Media Aboriginal Corporation
		Bidyadanga Aboriginal Community La Grange Inc.
		Looma Community Inc.
6CST	6CST	West Coast Radio Pty Ltd
6MM	6MM	West Coast Radio Pty Ltd
		AM 1611 Broadcomm Pty Ltd
6MKA	6MKA	Meeka FM Community Radio Station Inc.
6MD	6MD	Mid-Districts Radio Pty Ltd
6MER	6MER	Mid-Districts Radio Pty Ltd
6NA	6NA	Radio West Broadcasters Pty Ltd
6NAN	6NAN	Radio West Broadcasters Pty Ltd
6NEW	6NEW	Newman Community Radio Inc.
6AM	6AM	Radio 6AM Pty Ltd
6NAM	6NAM	Radio 6AM Pty Ltd
		Oombulgurri Association Inc.
6AR	6AR	Western Australia Aboriginal Media Association
6EBA	6EBA	Multicultural Radio & TV Association of Western A
6IX	6IX	Radio Perth Pty Ltd
6MIX	6MIX	Perth FM Radio Pty Ltd
6NOW	6NOW	96FM Southern Cross Radio Pty Ltd
6NR	6NR	Curtin University of Technology
	6PER	NOVA 93.7 DMG Radio (Perth) Pty Ltd
6PPM	6PPM	Consolidated Broadcasting Systems (WA) Pty Ltd
6PR	6PR	6PR Southern Cross Radio Pty Ltd
	6RPH	Foundation for Information Radio of WA Inc.
6RTR	6RTR	Arts Radio Ltd
6SON	6SON	Good News Broadcasters Inc.
	6YMS	Groove 101. Youth Media Society of Western Australia Inc.
6HED	6HED	North West Radio Pty Ltd
6NW	6NW	North West Radio Pty Ltd
	6HCR	Radio Mulb Port Hedland Indigenous Media Aboriginal Corpor
		REMOTE COMMERCIAL RADIO SERV 	6FMS	6FMS	North West Radio Pty Ltd
6SAT	6SAT	North West Radio Pty Ltd
		Tjukurla Community Inc.
	6TCR	Twin Cities  Wanneroo Joondalup Regional Broadcasting Asso
		Warmun Community (Turkey Creek) Inc.
		Irrunytju Community Inc.
		Mugarinya Community Association Inc.
		York Community Radio Inc.
		Yungngora Community Council
